extract1,extract2,extract3,extract4,extract5,extract6,pcrSV019,pcrSV020,pcrSV021,pcrTM018,pcrSV023,pcrSV016,prcSV017,pcrSV018,foram_extract1_1,foram_extract2_1,foram_extract3_1,foram_extract4_1,foram_extract5_1,foram_extract6_1,pcrSV011,pcrSV012,pcrSV013,pcrSV014,foram_extract1_2,foram_extract4_2,foram_extract5_2,foram_extract6_2,foram_extract7_2,foram_extract8_2,foram_extract9_2,foram_extract10_2,foram_extract11_2,MP056A,MP056B,MP056C,MP057A,MP057B,MP057C
,,,extract_neg4b,NBC.LAB.10599b,,NBC.LAB.10625a,NBC.LAB.10625b,NBC.LAB.10625c,extract_neg2a,NBC.LAB.10984,NBC.LAB.10849,NBC.LAB.10713,,NBC.LAB.11083b,NBC.LAB.11093b,NBC.LAB.11107b,NBC.LAB.11126b,NBC.LAB.11145b,NBC.LAB.11164b,NBC.LAB.11091a,NBC.LAB.11091b,NBC.LAB.11091c,extractionnegative4b,NBC.LAB.15336b,NBC.LAB.15359a,NBC.LAB.15295a,NBC.LAB.15369a,NBC.LAB.15278a,NBC.LAB.15312a,NBC.LAB.15320a,NBC.LAB.15270a,NBC.LAB.15271a,NBC.LAB.15317a,NBC.LAB.15317b,NBC.LAB.15317c,NBC.LAB.11156a,NBC.LAB.11156b,NBC.LAB.11156c
,,,extract_neg4c,NBC.LAB.10599c,,NBC.LAB.10666a,NBC.LAB.10666b,NBC.LAB.10666c,extract_neg3a,NBC.LAB.10953,NBC.LAB.10857,NBC.LAB.10721,,NBC.LAB.11083c,NBC.LAB.11093c,NBC.LAB.11107c,NBC.LAB.11126c,NBC.LAB.11145c,NBC.LAB.11164c,NBC.LAB.11092a,NBC.LAB.11092b,NBC.LAB.11092c,extractionnegative4c,NBC.LAB.15337b,NBC.LAB.15366a,NBC.LAB.15296a,NBC.LAB.15372a,NBC.LAB.15280a,NBC.LAB.15313a,NBC.LAB.15321a,NBC.LAB.15279a,NBC.LAB.15284a,NBC.LAB.15325a,NBC.LAB.15325b,NBC.LAB.15325c,NBC.LAB.11172a,NBC.LAB.11172b,NBC.LAB.11172c
,,,,NBC.LAB.10624a,,negcontrolSV019_,negcontrolSV020_,negcontrolSV021_,extract_neg5a,NBC.LAB.10946,NBC.LAB.10826,NBC.LAB.10730,,NBC.LAB.11084a,NBC.LAB.11094a,NBC.LAB.11108a,NBC.LAB.11127a,NBC.LAB.11146a,NBC.LAB.11165a,NBC.LAB.11093a,NBC.LAB.11093b,NBC.LAB.11093c,extractionnegative5a,NBC.LAB.15338b,NBC.LAB.15371a,NBC.LAB.15283b,NBC.LAB.15373a,NBC.LAB.15300a,NBC.LAB.15314a,NBC.LAB.15323a,NBC.LAB.15286a,NBC.LAB.15297a,NBC.LAB.15238a,NBC.LAB.15238b,NBC.LAB.15238c,NBC.LAB.11085a,NBC.LAB.11085b,NBC.LAB.11085c
,,,,NBC.LAB.10624b,,,,,extract_neg6a,negcontrolSV023_,negcontrolSV016_,negcontrolSV017_,,NBC.LAB.11084b,NBC.LAB.11094b,NBC.LAB.11108b,NBC.LAB.11127b,NBC.LAB.11146b,NBC.LAB.11165b,NBC.LAB.11094a,NBC.LAB.11094b,NBC.LAB.11094c,extractionnegative5b,NBC.LAB.15342b,NBC.LAB.15378a,NBC.LAB.15285b,NBC.LAB.15374a,NBC.LAB.15324a,NBC.LAB.15315a,NBC.LAB.15325a,NBC.LAB.15333a,NBC.LAB.15298a,NBC.LAB.15246a,NBC.LAB.15246b,NBC.LAB.15246c,NBC.LAB.11157a,NBC.LAB.11157b,NBC.LAB.11157c
,,,,NBC.LAB.10624c,,,,,extract_neg2b,,,,,NBC.LAB.11084c,NBC.LAB.11094c,NBC.LAB.11108c,NBC.LAB.11127c,NBC.LAB.11146c,NBC.LAB.11165c,NBC.LAB.11095a,NBC.LAB.11095b,NBC.LAB.11095c,extractionnegative5c,NBC.LAB.15344b,NBC.LAB.15387a,NBC.LAB.15287b,NBC.LAB.15375a,NBC.LAB.15370a,NBC.LAB.15316a,NBC.LAB.15326a,NBC.LAB.15341a,NBC.LAB.15301a,NBC.LAB.15254a,NBC.LAB.15254b,NBC.LAB.15254c,NBC.LAB.11173a,NBC.LAB.11173b,NBC.LAB.11173c
,,,,NBC.LAB.10625a,,,,,extract_neg3b,,,,,NBC.LAB.11085a,NBC.LAB.11095a,NBC.LAB.11109a,NBC.LAB.11128a,NBC.LAB.11147a,NBC.LAB.11166a,NBC.LAB.11096a,NBC.LAB.11096b,NBC.LAB.11096c,extractionnegative6a,NBC.LAB.15345b,NBC.LAB.15277b,NBC.LAB.15288b,NBC.LAB.15352b,NBC.LAB.15380a,NBC.LAB.15349a,NBC.LAB.15328a,NBC.LAB.15343a,NBC.LAB.15356a,NBC.LAB.15262a,NBC.LAB.15262b,NBC.LAB.15262c,NBC.LAB.11086a,NBC.LAB.11086b,NBC.LAB.11086c
,,,,NBC.LAB.10625b,,,,,extract_neg5b,,,,,NBC.LAB.11085b,NBC.LAB.11095b,NBC.LAB.11109b,NBC.LAB.11128b,NBC.LAB.11147b,NBC.LAB.11166b,NBC.LAB.11097a,NBC.LAB.11097b,NBC.LAB.11097c,extractionnegative6b,NBC.LAB.15332c,NBC.LAB.15281b,NBC.LAB.15289b,NBC.LAB.15353b,NBC.LAB.15381a,NBC.LAB.15351a,NBC.LAB.15330a,NBC.LAB.15368a,NBC.LAB.15377a,NBC.LAB.15270a,NBC.LAB.15270b,NBC.LAB.15270c,NBC.LAB.11158a,NBC.LAB.11158b,NBC.LAB.11158c
,,,,NBC.LAB.10625c,,,,,extract_neg6b,,,,,NBC.LAB.11085c,NBC.LAB.11095c,NBC.LAB.11109c,NBC.LAB.11128c,NBC.LAB.11147c,NBC.LAB.11166c,NBC.LAB.11098a,NBC.LAB.11098b,NBC.LAB.11098c,extractionnegative6c,NBC.LAB.15335c,NBC.LAB.15303b,NBC.LAB.15290b,NBC.LAB.15357b,NBC.LAB.15384a,NBC.LAB.15354a,NBC.LAB.15334a,NBC.LAB.15376a,NBC.LAB.15383a,NBC.LAB.15278a,NBC.LAB.15278b,NBC.LAB.15278c,NBC.LAB.11174a,NBC.LAB.11174b,NBC.LAB.11174c
,,,,extract_neg5a,,,,,extract_neg2c,,,,,NBC.LAB.11086a,NBC.LAB.11096a,NBC.LAB.11110a,NBC.LAB.11129a,NBC.LAB.11148a,NBC.LAB.11167a,NBC.LAB.11099a,NBC.LAB.11099b,NBC.LAB.11099c,NBC.LAB.11211a,NBC.LAB.15336c,NBC.LAB.15306b,NBC.LAB.15291b,NBC.LAB.15360b,NBC.LAB.15385a,NBC.LAB.15355a,NBC.LAB.15339a,NBC.LAB.15379a,NBC.LAB.15389a,NBC.LAB.15286a,NBC.LAB.15286b,NBC.LAB.15286c,NBC.LAB.11087a,NBC.LAB.11087b,NBC.LAB.11087c
,,,,extract_neg5b,,,,,extract_neg3c,,,,,NBC.LAB.11086b,NBC.LAB.11096b,NBC.LAB.11110b,NBC.LAB.11129b,NBC.LAB.11148b,NBC.LAB.11167b,NBC.LAB.11100a,NBC.LAB.11100b,NBC.LAB.11100c,NBC.LAB.11211b,NBC.LAB.15337c,NBC.LAB.15322b,NBC.LAB.15292b,NBC.LAB.15361b,NBC.LAB.15386a,NBC.LAB.15282b,NBC.LAB.15340a,NBC.LAB.15382a,NBC.LAB.15391a,NBC.LAB.15294a,NBC.LAB.15294b,NBC.LAB.15294c,NBC.LAB.11159a,NBC.LAB.11159b,NBC.LAB.11159c
