"category","taxon","island","sample_code","water_depth._m","dist_coast_km","long","lat","substrate_type","sequencin_run","ESVs","Kindgom","Phylum","Class","Order","Family","Genus","Species","X.Identity.percentage","reads","pa","N","site_code"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_259","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia_sp.",86486,308,1,6.2450729184128,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_269","Eukaryota","Bacillariophyta","Mediophyceae","Chaetocerotales","Chaetocerotaceae","Bacteriastrum","Bacteriastrum_furcatum",98092,1452,1,29.441058043946,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_278","Eukaryota","Bacillariophyta","Coscinodiscophyceae","Rhizosoleniales","Rhizosoleniaceae","Guinardia","Guinardia_striata",99240,1785,1,36.1930362317105,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_285","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia_cf._pusilla",95437,728,1,14.7610814435212,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_296","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Cylindrotheca","Cylindrotheca_closterium",86312,3241,1,65.7151991187528,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_3","Eukaryota","Bacillariophyta","Mediophyceae","Triceratiales","Plagiogrammaceae","Talaroneis","Talaroneis_posidoniae",93916,325,1,6.58976850157195,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_333","Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia_linearis",95057,754,1,15.2882629236469,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_355","Eukaryota","Bacillariophyta","Fragilariophyceae","Fragilariales","Fragilariaceae","Serratifera","Serratifera_corallina",86667,1339,1,27.1498462264764,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_357","Eukaryota","Bacillariophyta","Bacillariophyceae","Achnanthales","Achnanthaceae","Craspedostauros","Craspedostauros_alyoubii",84470,1150,1,23.3176423901777,"Badi_1"
"environment","seawater","Badi","seawater_Badi_1","1",23,"119.28308","-4.9717","seawater",1,"ESV_380","Eukaryota","Bacillariophyta","Bacillariophyceae","Surirellales","Entomoneidaceae","Entomoneis","Entomoneis_sp.",84270,969,1,19.6476482400714,"Badi_1"
